id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.cercle,children_count.arrondissement,children_count.commune,zip_codes,geo.lat,geo.lon
ML-A050603,3,Arrondissement,Arrondissement,Doko,Doko,doko-050603,ML-A050603,,ML0506,Korientzé,Korientze,,,,1,,15.394,-3.782
ML-A050604,3,Arrondissement,Arrondissement,Gouloumbou,Gouloumbou,gouloumbou-050604,ML-A050604,,ML0506,Korientzé,Korientze,,,,1,,15.394,-3.782
ML-A050701,3,Arrondissement,Arrondissement,Sofara,Sofara,sofara-050701,ML-A050701,,ML0507,Sofara,Sofara,,,,1,,14.017,-4.233
ML-A050702,3,Arrondissement,Arrondissement,Bonguel,Bonguel,bonguel-050702,ML-A050702,,ML0507,Sofara,Sofara,,,,1,,14.017,-4.233
ML-A050801,3,Arrondissement,Arrondissement,Toguéré-Coumbé,Toguéré-Coumbé,togur-coumb-050801,ML-A050801,,ML0508,Toguéré-Coumbé,Togueré-Coumbé,,,,1,,14.917,-4.6
ML-A050802,3,Arrondissement,Arrondissement,Ouronguia,Ouronguia,ouronguia-050802,ML-A050802,,ML0508,Toguéré-Coumbé,Togueré-Coumbé,,,,1,,14.917,-4.6
ML-A050803,3,Arrondissement,Arrondissement,Doungoura,Doungoura,doungoura-050803,ML-A050803,,ML0508,Toguéré-Coumbé,Togueré-Coumbé,,,,1,,14.917,-4.6
ML-A060101,3,Arrondissement,Arrondissement,Tombouctou,Tombouctou,tombouctou-060101,ML-A060101,,ML0601,Tombouctou,Timbuktu,,,,2,,16.773,-3.007
ML-A060102,3,Arrondissement,Arrondissement,Aglal,Aglal,aglal-060102,ML-A060102,,ML0601,Tombouctou,Timbuktu,,,,1,,16.773,-3.007
ML-A060103,3,Arrondissement,Arrondissement,Bourem Inaly,Bourem Inaly,bourem-inaly-060103,ML-A060103,,ML0601,Tombouctou,Timbuktu,,,,1,,16.773,-3.007
ML-A060201,3,Arrondissement,Arrondissement,Goundam,Goundam,goundam-060201,ML-A060201,,ML0602,Goundam,Goundam,,,,4,,16.415,-3.671
ML-A060202,3,Arrondissement,Arrondissement,Douékiré,Douékiré,doukir-060202,ML-A060202,,ML0602,Goundam,Goundam,,,,1,,16.415,-3.671
ML-A060203,3,Arrondissement,Arrondissement,Farach,Farach,farach-060203,ML-A060203,,ML0602,Goundam,Goundam,,,,2,,16.415,-3.671
ML-A060301,3,Arrondissement,Arrondissement,Diré,Diré,dir-060301,ML-A060301,,ML0603,Diré,Dire,,,,8,,16.257,-3.401
ML-A060302,3,Arrondissement,Arrondissement,Saréyamou,Saréyamou,saryamou-060302,ML-A060302,,ML0603,Diré,Dire,,,,2,,16.257,-3.401
ML-A060303,3,Arrondissement,Arrondissement,Haibongo,Haibongo,haibongo-060303,ML-A060303,,ML0603,Diré,Dire,,,,1,,16.257,-3.401
ML-A060304,3,Arrondissement,Arrondissement,Dangha,Dangha,dangha-060304,ML-A060304,,ML0603,Diré,Dire,,,,2,,16.257,-3.401
ML-A060401,3,Arrondissement,Arrondissement,Niafunké,Niafunké,niafunk-060401,ML-A060401,,,,,,,,1,,15.932,-3.991
ML-A060402,3,Arrondissement,Arrondissement,Soumpi,Soumpi,soumpi-060402,ML-A060402,,,,,,,,1,,15.844,-4.325
ML-A060501,3,Arrondissement,Arrondissement,Rharous,Rharous,rharous-060501,ML-A060501,,,,,,,,2,,16.883,-1.923
ML-A060502,3,Arrondissement,Arrondissement,Mandiakoye,Mandiakoye,mandiakoye-060502,ML-A060502,,,,,,,,2,,16,-3
